load #,carrier,subcarrier,lane,shipper accounts,origin scheduled depart,origin actual arrival,dest scheduled arrival,dest actual arrival,dest finish unload,trailer id,canceled load,trailer ready time,origin late hours,equipment type,pallet count,unit count
116GXBNJ2,AZNG,AZNG,RGLD->MQY1,TransfersOutsideServices,2026-09-04 15:00:00,,2026-09-04 16:26:00,,,,False,2026-09-04 15:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
111L87S8L,AZNG,AZNG,RIMG->FTW5,TransfersOutsideServices,2026-09-04 14:00:00,,2026-09-04 16:02:00,,,,False,2026-09-04 14:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
112XX9SYJ,AZYKB,AZNG,RIVA->YVR3,TransfersOutsideServices,2026-09-04 13:16:00,,2026-09-04 14:32:00,,,,False,2026-09-04 13:16:00,,FIFTY_THREE_FOOT_TRUCK,,0
113V76GWZ,AZNG,AZNG,RTPX->HSV1,TransfersOutsideServices,2026-09-04 13:00:00,,2026-09-05 12:00:00,,,,False,2026-09-04 13:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
111FDK5QQ,AZNG,AZNG,RTPX->HSV1,TransfersOutsideServices,2026-09-04 12:00:00,,2026-09-05 11:00:00,,,,False,2026-09-04 12:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
1119VWSFF,AZNG,AZNG,RIMG->FTW5,TransfersOutsideServices,2026-09-04 11:00:00,,2026-09-04 13:02:00,,,,False,2026-09-04 11:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
115D8QFL1,AZNG,AZNG,RIMG->FTW6,TransfersOutsideServices,2026-09-04 11:00:00,,2026-09-04 12:00:00,,,,False,2026-09-04 11:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
1153FN95L,AZYKB,AZNG,YVR3->RIVA,TransfersOutsideServices,2026-09-04 11:00:00,,2026-09-04 12:15:00,,,,False,2026-09-04 11:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
116CK3W5X,AZNG,AZNG,RPNV->LAS7,TransfersOutsideServices,2026-09-04 10:00:00,,2026-09-04 10:55:00,,,,False,2026-09-04 10:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
113HK9ZT1,NWLB,AZNG,YYZ1->RITO,TransfersOutsideServices,2026-09-04 10:00:00,,2026-09-04 10:49:00,,,,False,2026-09-04 10:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
1165QR64S,AZNG,AZNG,CVG2->LNRM,TransfersOutsideServices,2026-09-04 10:00:00,,2026-09-04 10:53:00,,,,False,2026-09-04 10:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
11592FG6B,AZNG,,RARC->AGS1,TransfersOutsideServices,2026-09-04 10:00:00,,2026-09-04 11:18:00,,,,False,2026-09-04 10:00:00,,TWENTY_SIX_FOOT_BOX_TRUCK,,0
115QLXYK7,AZNG,AZNG,RTPX->DAL3,TransfersOutsideServices,2026-09-04 10:00:00,,2026-09-04 11:07:00,,,,False,2026-09-04 10:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
1121VVJCF,SIPS,AZNG,RITO->YYZ1,TransfersOutsideServices,2026-09-04 09:30:00,,2026-09-04 10:21:00,,,,False,2026-09-04 09:30:00,,FIFTY_THREE_FOOT_TRUCK,,0
111VPN6PD,AZNG,AZNG,RPNC->GSO1,TransfersOutsideServices,2026-09-04 09:00:00,,2026-09-04 13:00:00,,,,False,2026-09-04 09:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
114QY48FS,AZNG,AZNG,RIVA->YVR3,TransfersOutsideServices,2026-09-04 09:00:00,,2026-09-04 10:17:00,,,,True,2026-09-04 09:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
11458FLM3,AZNG,AZNG,RTPX->DAL3,TransfersOutsideServices,2026-09-04 09:00:00,,2026-09-04 10:07:00,,,,False,2026-09-04 09:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
115VBDPD4,AZNG,AZNG,RARC->MGE3,TransfersOutsideServices,2026-09-04 09:00:00,,2026-09-04 11:47:00,,,,False,2026-09-04 09:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
115M1Q97Y,AZNG,AZNG,RPNC->GSO1,TransfersOutsideServices,2026-09-04 08:00:00,,2026-09-04 12:00:00,,,,False,2026-09-04 08:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
113V9V8N2,AZNG,AZNG,RPNV->LAS6,TransfersOutsideServices,2026-09-04 08:00:00,,2026-09-04 08:39:00,,,,False,2026-09-04 08:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
111D9LZCF,AZNG,AZNG,RPNV->LAS6,TransfersOutsideServices,2026-09-04 08:00:00,,2026-09-04 08:39:00,,,,False,2026-09-04 08:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
112YX5R15,TEZK,AZNG,RITO->YYZ9,TransfersOutsideServices,2026-09-04 08:00:00,,2026-09-04 09:25:00,,,,False,2026-09-04 08:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
111KJVC5D,AZNG,AZNG,RPNC->GSO1,TransfersOutsideServices,2026-09-04 07:00:00,,2026-09-04 11:00:00,,,,False,2026-09-04 07:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
1129PLQ85,AZNG,AZNG,TUS1->RPNV,TransfersOutsideServices,2026-09-04 04:30:00,,2026-09-04 11:16:00,,,,False,2026-09-04 04:30:00,,FIFTY_THREE_FOOT_TRUCK,,0
115QPH3C7,AZNG,AZNG,SDF6->RPNC,TransfersOutsideServices,2026-09-04 04:00:00,,2026-09-04 11:41:00,,,,False,2026-09-04 04:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
1114MW29G,AZNG,AZNG,SDF6->RPNC,TransfersOutsideServices,2026-09-04 04:00:00,,2026-09-04 11:41:00,,,,False,2026-09-04 04:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
114LS6JXB,AJZYZ,AJZYZ,CVG2->RPNC,TransfersOutsideServices,2026-09-03 23:00:00,,2026-09-04 07:53:00,,,,False,2026-09-03 23:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
1142MDY51,AZNG,AZNG,RIMG->FTW5,TransfersOutsideServices,2026-09-03 14:00:00,,2026-09-03 16:02:00,,,,False,2026-09-03 14:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
112GZ2ZQQ,AZNG,AZNG,RTPX->HSV1,TransfersOutsideServices,2026-09-03 13:00:00,,2026-09-04 12:00:00,,,,False,2026-09-03 13:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
111KTK1Z3,AZNG,AZNG,RTPX->HSV1,TransfersOutsideServices,2026-09-03 12:00:00,,2026-09-04 11:00:00,,,,False,2026-09-03 12:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
1168KG475,AZNG,AZNG,RRPR->CMH4,TransfersOutsideServices,2026-09-03 11:00:00,,2026-09-03 13:53:00,,,,False,2026-09-03 11:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
1159Q6HT8,AZNG,AZNG,RIMG->FTW5,TransfersOutsideServices,2026-09-03 11:00:00,,2026-09-03 13:02:00,,,,False,2026-09-03 11:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
112NJR9RW,AZNG,AZNG,RIMG->FTW6,TransfersOutsideServices,2026-09-03 11:00:00,,2026-09-03 12:00:00,,,,False,2026-09-03 11:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
1118BTWSF,AZNG,AZNG,RRPR->CMH3,TransfersOutsideServices,2026-09-03 11:00:00,,2026-09-03 12:53:00,,,,False,2026-09-03 11:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
113M7W4ZF,AZNG,AZNG,RTPX->DAL3,TransfersOutsideServices,2026-09-03 10:00:00,,2026-09-03 11:07:00,,,,False,2026-09-03 10:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
113492LND,AZNG,AZNG,CVG2->LNRM,TransfersOutsideServices,2026-09-03 10:00:00,,2026-09-03 10:53:00,,,,False,2026-09-03 10:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
112F2DYKC,AZNG,AZNG,RTPX->DAL3,TransfersOutsideServices,2026-09-03 09:00:00,,2026-09-03 10:07:00,,,,False,2026-09-03 09:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
114GR4QTW,AZNG,AZNG,RARC->MGE3,TransfersOutsideServices,2026-09-03 09:00:00,,2026-09-03 11:47:00,,,,False,2026-09-03 09:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
111L5MK58,AZNG,AZNG,RPNC->GSO1,TransfersOutsideServices,2026-09-03 09:00:00,,2026-09-03 13:00:00,,,,False,2026-09-03 09:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
113RYQLX4,AZNG,,RIVA->YYC1,TransfersOutsideServices,2026-09-03 09:00:00,,2026-09-04 03:00:00,,,,False,2026-09-03 09:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
114NXQLZ3,AZNG,AZNG,RPNC->GSO1,TransfersOutsideServices,2026-09-03 08:00:00,,2026-09-03 12:00:00,,,,False,2026-09-03 08:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
113GVFL17,AZNG,AZNG,RPNV->LAS6,TransfersOutsideServices,2026-09-03 08:00:00,,2026-09-03 08:39:00,,,,False,2026-09-03 08:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
112ZCM4HG,SIPS,AZNG,RITO->YYZ9,TransfersOutsideServices,2026-09-03 08:00:00,,2026-09-03 09:25:00,,,,False,2026-09-03 08:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
112RB3SYH,AZNG,AZNG,RPNV->LAS6,TransfersOutsideServices,2026-09-03 08:00:00,,2026-09-03 08:39:00,,,,False,2026-09-03 08:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
1135RP653,AZNG,AZNG,RIMG->FTW5,TransfersOutsideServices,2026-09-03 07:30:00,,2026-09-03 09:32:00,,,,False,2026-09-03 07:30:00,,FIFTY_THREE_FOOT_TRUCK,,0
11426VKT2,AZNG,AZNG,RPNC->GSO1,TransfersOutsideServices,2026-09-03 07:00:00,,2026-09-03 11:00:00,,,,False,2026-09-03 07:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
114HL3NKQ,AZNG,AZNG,CLT6->RPNC,TransfersOutsideServices,2026-09-03 06:00:00,,2026-09-03 11:15:00,,,,False,2026-09-03 06:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
113H2VFM5,AZNG,AZNG,SDF6->RPNC,TransfersOutsideServices,2026-09-03 04:00:00,,2026-09-03 11:41:00,,,,False,2026-09-03 04:00:00,,FIFTY_THREE_FOOT_TRUCK,,0
